id,s,g,o,note
0,"4,16","4,16","4,16",
1,A,A,A,
2,"-1.46, 1.645, A","-1.46,1.645,A","-1.46,1.645,A",
3,B,B,B,
4,"-\frac{7\sqrt{149}}{149},\,\frac{10\sqrt{149}}{149},\,-\frac{7}{10}","-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}","-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",
5,"541.30,\ 63.25,\ 135.325,\ 4.2167,\ 32.09","541.3,63.25,135.325,4.2167,32.09","541.30,63.25,135.325,4.2167,32.09",
6,148.02,148.03,148.02,
7,328,\frac{112}{3},990,
8,420,420 mL,420 mL,
9,"-\frac{4}{3}x,\frac{L}{6}",\frac{L-8x}{6F},"L-8x,6",
10,I,E,E,
11,0.9391,0.939,0.94 (approximately),
12,"2c+4p=70,\ 11","2c+4p=70,11","2c+4p=70,11",
13,C,C,C,
14,\frac{\ln(35)}{\ln(3)},\frac{\log 35}{\log 3},\displaystyle \frac{\ln 35}{\ln 3},
15,"8,NONE","8,NONE","8,NONE",
16,501,501,501,
17,C,E,C,
18,H,H,H,
19,D,C,E,
20,"228, 229, 250","228,229,250","228,229,250",
21,"L(t) = 0.2915t + 56.9333, = 67.43","L(t)=0.21917t+59.4667,\ 67.4","L(t)=0.2918t+56.93,\;67.4",
22,G,H,G,
23,H,H,H,
24,1,1,1,
25,"\frac{8}{63},\frac{6}{63},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63","\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63","\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63",
26,H,I,I,
27,"1/3, 2/3, 7/6, 11/6","\frac13,\frac23,\frac76,\frac{11}{6}","1/3,2/3,7/6,11/6",
28,"2,70,1,768,2,140","2,70,1,768,2,140","2,70,1,768,2,140",
29,38.2\%,38.2\%,38.2\%,
30,"2944, 664","2944,664","2944,664",
31,"-3,42","-3,42","-3,42",
32,"\sqrt{101},\ -1,\ -\frac{7}{2}","\sqrt{101},-1,-\frac{7}{2}","\sqrt{101},-1,-\frac{7}{2}",
33,F,H,F,
34,J,J,J,
35,"downward, \ln p","downward,\ln p","down,\ln p",
36,40x^{10}y^{9},40x^{10}y^9,40x^{10}y^{9},
37,"Tommy, Chucky, February 7","Tommy,Chucky,February\ 7","Tommy,Chucky,February 7",
38,B,B,B,
39,475,475,475,
40,D = 800 - 50d,D=800-50d,D = 800 - 50d,
41,3986,4048,4048,
42,"No, Yes, A","No,Yes,A","No,Yes,A",
43,"\frac{3}{8},\ 14,\ 28","\frac38,14,28","\frac{3}{8},14,28",
44,"True, True, True, False","True,True,True,False","True,True,True,False",
45,F,A,A,
46,"1.645, 1.72, 1.96, -1.96, 1.72, B, A","1.645,1.7193,1.96,-1.96,1.7193,B,A","1.645,1.718,1.96,-1.96,1.718,B,A",
47,F,F,F,
48,C,C,C,
49,0.0143,0.0143,0.014,
50,"140A+150B=5930,\ 3A+4B=142","140A+150B=5930,3A+4B=142","22,19,41",
51,25452_8,25352_8,25452_{8},
52,"231,385","231,385","231,385",
53,F,F,F,
54,2,1,1,
55,y = 5x^4,y=5x^4,y = 5x^{4},
56,"D,D,A","D,D,A","D,D,A",
57,4,4,4,
58,31,7,31,
59,49,49,49,
60,"C,A","C,A","C,A",
61,"0.76c, 0, 150, 0.69c+10.50, 150","0.76c,0,150,0.69c+10.5,150","0.76c,0,150,0.69c+10.5,150",
62,"-15,192,0","-15,192,0","-15,192,0",
63,"18.96, 15.84","18.903,15.897","18.96,15.84",
64,P(t) = 850 - 350\cos\!(\frac{\pi}{6}t),P(t)=850-350\cos(\frac{\pi t}{6}),P(t)=850-350\cos(\frac{\pi}{6}t),
65,"-\frac{6}{7},\frac{2}{7}","-\frac{6}{7},\frac{2}{7}","-\frac{6}{7},\frac{2}{7}",
66,2354,2353.64,2354 miles,
67,"7.6(1.09)^t,\ 13.89,\ 5.38","7.6(1.09)^t,13.9,5.4","7.6(1.09)^t,\;13.9,\;5.38",
68,"-2.857,\ 6.986,\ -1.082,\ 3.707,\ -3.707,\ A,\ -12.646,\ 6.932","-2.857,3.760,-2.011,3.707,-3.707,A,-8.124,2.410","-2.857,6.985,-1.082,3.707,-3.707,No,-12.652,6.938",
69,G,"None of the listed options;  \int_0^\pi f(x)\,dx=\frac{\pi^2-2\pi}{2}",G,
70,\frac{5}{56},\frac{5}{56},\frac{5}{56},
71,"29/25,18","\frac{29}{25},18","29/25,18",
72,"-0.8352, -0.9187, 0.3950, -2.3257, Quadrant IV","-0.8352,-0.9187,0.3950,-2.3258,Quadrant IV","-0.8352,-0.9187,0.3950,-2.3258,IV",
73,E,E,E,
74,"[12.306, 25.094]","(12.30,\ 25.10)","(12.3,\;25.1)",
75,x > 21250,x>21250,x > 21250,
76,"-4,-11,3,33,-32,9,-14,-13","-4,-11,3,33,-32,9,-14,-13","-4,-11,3,33,-32,9,-14,-13",
77,"D,D,A","C,D,A","C,D,A",
78,A,A,A,
79,\frac{25}{7},\frac{25}{7},\frac{25}{7},
80,G,G,G,
81,79.41,79.41,\frac{1747}{22},
82,"1.323, 1.677, No, there is not sufficient evidence to support the claim","1.32,1.677,No","1.32,1.68,No",
83,1420,355,165,
84,"-4,5,-11","-4,5,-11","-4,5,-11",
85,F,F,F,
86,16,16,16,
87,"OBSERVATION,OBSERVATION,EXPERIMENT","OBSERVATION,OBSERVATION,EXPERIMENT","OBSERVATION,OBSERVATION,EXPERIMENT",
88,C,C,A,
89,46.57,\frac{326}{7},\frac{326}{7},
90,7n+1,7n+1,7n+1,
91,J,H,J,
92,E,E,E,
93,sWith,51,57,
94,C,C,C,
95,\frac{16}{3},6,,
96,158\%,158\%,158\%,
97,"0,4,4","0,4,4","0,4,4",
98,A,A,A,
99,"-6,12,-6","-6,12,-6","-6,12,-6",
100,\frac{180}{7},\frac{180}{7},\frac{180}{7},
101,"C,C,A,C","C,C,A,C","C,C,A,C",
102,I,I,I,
103,8\sqrt{2},8\sqrt{2},8\sqrt2,
104,\frac{2387\pi}{1800} = 4.166,\frac{2387\pi}{1800},\frac{2387\pi}{1800},
105,"24, 9.11","24,9.11","24,9.11",
106,\frac{13}{6},\frac{13}{6},\frac{13}{6},
107,J,J,J,
108,"72, 12x","72,12x","72,12x",
109,B,B,B,
110,"3,9","A,3,9","3,9",
111,8x^3,8x^3,8x^{3},
112,600,1038,384,
113,\frac{25-2(x+4)^2}{25},\frac{25-2(x+4)^2}{25},\frac{-2x^{2}-16x-7}{25},
114,D,D,D,
115,"11x-1200,11,109,(y+1200)/11,1958","11x-1200,11,109,(y+1200)/11,1958","y=11x-1200,11,109,x=(y+1200)/11,1958",
116,"30,6","30,6","30,6",
117,B,B,B,
118,3.6,\frac{18}{5},\frac{18}{5},
119,"A,C,B,D","A,C,B,D","A,C,B,D",
120,8,8,8,
121,35,35,35,
122,"1174.8,55","1174.8,55","1174.8,55",
