id,teacher,model,input_tokens,output_tokens,hit_token_cap,error,generation_time_s,timestamp
0,sonnet,claude-sonnet-4-6,293,157,False,,4.09,2026-05-19T15:03:00.537646+00:00
0,gpt4,gpt-5.4,260,192,False,,25.19,2026-05-19T15:03:00.243941+00:00
0,oss,api-gpt-oss-120b,321,410,False,,17.09,2026-05-19T15:03:00.342496+00:00
1,sonnet,claude-sonnet-4-6,279,294,False,,5.0,2026-05-19T15:03:06.145908+00:00
1,gpt4,gpt-5.4,254,212,False,,3.19,2026-05-19T15:03:05.836436+00:00
1,oss,api-gpt-oss-120b,315,363,False,,2.29,2026-05-19T15:03:05.952177+00:00
2,sonnet,claude-sonnet-4-6,468,353,False,,5.6,2026-05-19T15:03:12.237915+00:00
2,gpt4,gpt-5.4,413,392,False,,5.2,2026-05-19T15:03:12.139241+00:00
2,oss,api-gpt-oss-120b,474,596,False,,3.4,2026-05-19T15:03:12.143766+00:00
3,sonnet,claude-sonnet-4-6,302,200,False,,4.03,2026-05-19T15:03:17.645025+00:00
3,gpt4,gpt-5.4,270,279,False,,3.6,2026-05-19T15:03:17.638562+00:00
3,oss,api-gpt-oss-120b,331,559,False,,5.29,2026-05-19T15:03:17.641927+00:00
4,sonnet,claude-sonnet-4-6,298,168,False,,2.9,2026-05-19T15:03:20.946178+00:00
4,gpt4,gpt-5.4,261,232,False,,3.0,2026-05-19T15:03:20.939015+00:00
4,oss,api-gpt-oss-120b,322,358,False,,3.2,2026-05-19T15:03:20.942802+00:00
5,sonnet,claude-sonnet-4-6,650,1103,False,,13.1,2026-05-19T15:03:34.844509+00:00
5,gpt4,gpt-5.4,550,986,False,,10.6,2026-05-19T15:03:34.335480+00:00
5,oss,api-gpt-oss-120b,611,1459,False,,8.4,2026-05-19T15:03:34.542414+00:00
6,sonnet,claude-sonnet-4-6,283,110,False,,3.18,2026-05-19T15:03:38.347055+00:00
6,gpt4,gpt-5.4,261,154,False,,2.98,2026-05-19T15:03:38.339061+00:00
6,oss,api-gpt-oss-120b,322,552,False,,3.1,2026-05-19T15:03:38.342956+00:00
7,sonnet,claude-sonnet-4-6,306,1209,False,,21.5,2026-05-19T15:04:02.051787+00:00
7,gpt4,gpt-5.4,273,636,False,,10.39,2026-05-19T15:04:02.039519+00:00
7,oss,api-gpt-oss-120b,334,4344,False,,23.59,2026-05-19T15:04:02.045592+00:00
8,sonnet,claude-sonnet-4-6,219,110,False,,2.8,2026-05-19T15:04:06.148271+00:00
8,gpt4,gpt-5.4,195,195,False,,3.69,2026-05-19T15:04:06.139543+00:00
8,oss,api-gpt-oss-120b,256,622,False,,3.9,2026-05-19T15:04:06.143901+00:00
