item_id,xhigh_answer,status
0,"4,16",ok
1,A,ok
2,"-1.46,1.645,A",ok
3,B,ok
4,"-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",ok
5,"541.30,63.25,135.325,4.2167,32.09",ok
6,148.02 ft,ok
7,\frac{448}{3},ok
8,420 mL,ok
9,\frac{L-8x}{6F},ok
10,E,ok
11,0.939,ok
12,"2c+4p=70,11",ok
13,C,ok
14,\frac{\ln 35}{\ln 3},ok
15,"8,NONE",ok
16,858,ok
17,C,ok
18,H,ok
19,E,ok
20,"228,229,250",ok
21,"L(t)=56.9333+0.291548t,67.43",ok
22,G,ok
23,H,ok
24,1,ok
25,"\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63",ok
26,I,ok
27,"1/3,2/3,7/6,11/6",ok
28,"2,70,1,768,2,140",ok
29,38.2\%,ok
30,"2944,664",ok
31,"-3,42",ok
32,"\sqrt{101},-1,-\frac{7}{2}",ok
33,F,ok
34,J,ok
35,"down,\ln p",ok
36,40x^{10}y^9,ok
37,"Tommy,Chucky,February 7",ok
38,B,ok
39,475,ok
40,D=800-50d,ok
41,3542,ok
42,"No,Yes,A",ok
43,"\frac{3}{8},14,28",ok
44,"True,True,True,False",ok
45,F,ok
46,"1.645,1.719,1.960,-1.960,1.719,B,A",ok
47,F,ok
48,C,ok
49,0.0143,ok
50,"140A+150B=5930,\ 3A+4B=142",ok
51,25452_8,ok
52,"231,385",ok
53,F,ok
54,\frac34,ok
55,y=5x^4,ok
56,"D,D,A",ok
57,4,ok
58,59,ok
59,49,ok
60,"C,A",ok
61,"0.76c,0,150,114+0.69(c-150),150",ok
62,"-15,192,0",ok
63,"18.9295,15.8705",ok
64,P(t)=850-350\cos(\frac{\pi t}{6}),ok
65,"-\frac{6}{7},\frac{2}{7}",ok
66,2353.7 miles,ok
67,"7.6(1.09)^t,13.9,5.4",ok
68,"-2.857,6.986,-1.082,3.707,-3.707,No (A),-12.647,6.933",ok
69,G,ok
70,\frac{5}{56},ok
71,"\frac{29}{25},18",ok
72,"-0.8352,-0.9187,0.3950,-2.3258,Quadrant IV",ok
73,E,ok
74,"[12.36,\ 25.04]",ok
75,"x>21{,}250",ok
76,"-4,-11,3,33,-32,9,-14,-13",ok
77,"C,D,A",ok
78,A,ok
79,\frac{25}{7},ok
80,G,ok
81,79.4,ok
82,"1.323,1.677,No",ok
83,355,ok
84,"-4,5,-11",ok
85,F,ok
86,16,ok
87,"OBSERVATION,OBSERVATION,EXPERIMENT",ok
88,C,ok
89,\frac{326}{7},ok
90,7n+1,ok
91,J,ok
92,E,ok
93,63,ok
94,C,ok
95,\frac{9\sqrt{30}}{4},ok
96,158\%,ok
97,"0,4,4",ok
98,A,ok
99,"-6,12,-6",ok
100,\frac{180}{7} grams,ok
101,"C,C,A,C",ok
102,I,ok
103,8\sqrt{2},ok
104,\frac{2387\pi}{1800} units,ok
105,"24,9.11",ok
106,\frac{13}{6} hours,ok
107,J,ok
108,"72,12x",ok
109,B,ok
110,"A,3,9",ok
111,8x^3,ok
112,No such cube exists,ok
113,\frac{25-2(x+4)^2}{25},ok
114,D,ok
115,"y=11x-1200,11,109,x=\frac{y+1200}{11},1958",ok
116,"30,6",ok
117,B,ok
118,\frac{18}{5},ok
119,"A,C,B,D",ok
120,138,ok
121,35,ok
122,"1174.8 lb,55 days",ok
123,G,ok
124,H,ok
125,G,ok
126,138000,ok
127,10.7,ok
128,\frac{y-3}{y+3},ok
129,"\frac{5}{\sin t},\sqrt7,-3\cos t,2\sqrt2|\tan t|",ok
130,r^{42},ok
131,0.108,ok
132,10.8,ok
133,"-\frac{\sqrt3}{2},\frac12,-\sqrt3,2",ok
134,"1,5,12,20,26,30,31,27.625",ok
135,\frac{3}{5},ok
136,"A,C",ok
137,"2/13,2/1",ok
138,7236.81,ok
139,"201,\frac{1}{n(n+1)}",ok
140,2744,ok
141,A,recovered
142,"7,8,9,10,11",ok
143,"(0,-8),(0,6),(3,3\sqrt3)",ok
144,C,ok
145,"\frac{x}{5280},4.73,25000",ok
146,F,ok
147,I,ok
148,A,ok
149,6.85 km,ok
150,A,ok
151,36,ok
152,J,ok
153,B,ok
154,\18.75,ok
155,12.17 ft,ok
156,H,ok
157,"-7\cos(0.1t)+50\sin(0.1t),46.3054",ok
158,"A,C",ok
159,"0.07,0.007,0.0007",ok
160,"\frac{22+x}{y},Identity Property,Multiplication",ok
161,\frac{\binom{2024}{990}+23}{46},ok
162,B,ok
163,"9,-5,4",ok
164,G,ok
165,I,ok
166,175(\frac14)^n,ok
167,"Negative,Negative,Positive,Negative",ok
168,"A,C,B,B",ok
169,400\%,ok
170,F,ok
171,20,ok
172,\frac{1320}{3721},ok
173,C,ok
174,"7,\frac{7}{8}",ok
175,I,ok
176,\frac{p-6k-m}{8},ok
177,E,ok
178,C,ok
179,"29,3,21,1,21,4,19,4,23,3",ok
180,\frac{1}{2}m-\frac{7}{2},ok
181,A,ok
182,E,ok
183,D,ok
184,A,ok
185,"T,F,T,F,T",ok
186,D,ok
187,"coef(m1)[""ped""],coef(m2)[""age""],p1[1],p2[1],mis1\_05,mis2\_05,better,mis1\_03,mis2\_03",ok
188,"60,60,60",ok
189,850a+1200r=35000,ok
190,-\frac{21}{8},ok
191,"D,A,C,B,E",ok
192,"1.0585,(1.8808,infty),0.1449,A. Do Not Reject H_0",ok
